MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher*innen,insgesamt,2004,200401,531027,488539,-5.24,8.7,426501
Besucher*innen,insgesamt,2004,200402,485202,441716,-8.63,9.84,430125
Besucher*innen,insgesamt,2004,200403,420218,460087,-13.39,-8.67,426802
Besucher*innen,insgesamt,2004,200404,407452,391792,-3.04,4,428107
Besucher*innen,insgesamt,2004,200405,449848,380822,10.41,18.13,433859
Besucher*innen,insgesamt,2004,200406,424815,286372,-5.56,48.34,445396
Besucher*innen,insgesamt,2004,200407,505479,338283,18.99,49.42,459329
Besucher*innen,insgesamt,2004,200408,492733,367691,-2.52,34.01,469749
Besucher*innen,insgesamt,2004,200409,407956,364003,-17.21,12.07,473412
Besucher*innen,insgesamt,2004,200410,488698,457442,19.79,6.83,476017
Besucher*innen,insgesamt,2004,200411,458374,538375,-6.21,-14.86,469350
Besucher*innen,insgesamt,2004,200412,440713,560399,-3.85,-21.36,459376
Besucher*innen,insgesamt,2003,Summe,5075521,5253676,,-3.39,
Besucher*innen,insgesamt,2003,200301,488539,560263,-5.34,-12.8,431829
Besucher*innen,insgesamt,2003,200302,441716,451517,-9.58,-2.17,431013
Besucher*innen,insgesamt,2003,200303,460087,470107,4.16,-2.13,430178
Besucher*innen,insgesamt,2003,200304,391792,416408,-14.84,-5.91,428126
Besucher*innen,insgesamt,2003,200305,380822,399918,-2.8,-4.77,426535
Besucher*innen,insgesamt,2003,200306,286372,309710,-24.8,-7.54,424590
Besucher*innen,insgesamt,2003,200307,338283,462654,18.13,-26.88,414226
Besucher*innen,insgesamt,2003,200308,367691,387539,8.69,-5.12,412572
Besucher*innen,insgesamt,2003,200309,364003,367674,-1,-1,412266
Besucher*innen,insgesamt,2003,200310,457442,455152,25.67,0.5,412457
Besucher*innen,insgesamt,2003,200311,538375,456634,17.69,17.9,419269
Besucher*innen,insgesamt,2003,200312,560399,516100,4.09,8.58,422960
Besucher*innen,insgesamt,2002,Summe,5253676,5498642,,-4.46,
Besucher*innen,insgesamt,2002,200201,560263,501424,7.81,11.73,463123
Besucher*innen,insgesamt,2002,200202,451517,487303,-19.41,-7.34,460141
Besucher*innen,insgesamt,2002,200203,470107,528917,4.12,-11.12,455240
Besucher*innen,insgesamt,2002,200204,416408,484568,-11.42,-14.07,449560
Besucher*innen,insgesamt,2002,200205,399918,239742,-3.96,66.81,462908
Besucher*innen,insgesamt,2002,200206,309710,378327,-22.56,-18.14,457190
Besucher*innen,insgesamt,2002,200207,462654,399228,49.38,15.89,462476
Besucher*innen,insgesamt,2002,200208,387539,527934,-16.24,-26.59,450776
Besucher*innen,insgesamt,2002,200209,367674,524193,-5.13,-29.86,437733
Besucher*innen,insgesamt,2002,200210,455152,440781,23.79,3.26,438931
Besucher*innen,insgesamt,2002,200211,456634,466526,0.33,-2.12,438106
Besucher*innen,insgesamt,2002,200212,516100,519699,13.02,-0.69,437806
Besucher*innen,insgesamt,2001,Summe,5498642,4878591,,12.71,
Besucher*innen,insgesamt,2001,200101,501424,554594,9.5,-9.59,402118
Besucher*innen,insgesamt,2001,200102,487303,497041,-2.82,-1.96,401307
Besucher*innen,insgesamt,2001,200103,528917,405974,8.54,30.28,411552
Besucher*innen,insgesamt,2001,200104,484568,413818,-8.38,17.1,417448
Besucher*innen,insgesamt,2001,200105,239742,304364,-50.52,-21.23,412063
Besucher*innen,insgesamt,2001,200106,378327,291474,57.81,29.8,419301
Besucher*innen,insgesamt,2001,200107,399228,429441,5.52,-7.04,416783
Besucher*innen,insgesamt,2001,200108,527934,342364,32.24,54.2,432247
Besucher*innen,insgesamt,2001,200109,524193,334245,-0.71,56.83,448076
Besucher*innen,insgesamt,2001,200110,440781,451179,-15.91,-2.3,447210
Besucher*innen,insgesamt,2001,200111,466526,396161,5.84,17.76,453073
Besucher*innen,insgesamt,2001,200112,519699,457936,11.4,13.49,458220
Besucher*innen,insgesamt,2000,Summe,4878591,,,,
Besucher*innen,insgesamt,2000,200001,554594,,,,554594
Besucher*innen,insgesamt,2000,200002,497041,,-10.38,,525818
Besucher*innen,insgesamt,2000,200003,405974,,-18.32,,485870
Besucher*innen,insgesamt,2000,200004,413818,,1.93,,467857
Besucher*innen,insgesamt,2000,200005,304364,,-26.45,,435158
Besucher*innen,insgesamt,2000,200006,291474,,-4.24,,411211
Besucher*innen,insgesamt,2000,200007,429441,,47.33,,413815
Besucher*innen,insgesamt,2000,200008,342364,,-20.28,,404884
Besucher*innen,insgesamt,2000,200009,334245,,-2.37,,397035
Besucher*innen,insgesamt,2000,200010,451179,,34.98,,402449
Besucher*innen,insgesamt,2000,200011,396161,,-12.19,,401878
Besucher*innen,insgesamt,2000,200012,457936,,15.59,,406549
